,concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,case:concept:name,case:variant,case:variant-index,case:creator,start_timestamp
1149,Notificacion estudiante cancelacion soli,complete,1,2016-03-03 21:24:03+00:00,Notificacion estudiante cancelacion soli,1,91301,Variant 5,5,Fluxicon Disco,2016-03-03 21:24:03+00:00
1150,End,complete,End,2016-03-03 21:24:03+00:00,End,End,91301,Variant 5,5,Fluxicon Disco,2016-03-03 21:24:03+00:00
1151,Start,complete,Start,2016-02-24 16:14:01+00:00,Start,Start,91352,Variant 5,5,Fluxicon Disco,2016-02-24 16:14:01+00:00
1152,Traer informacion estudiante - banner,complete,24517,2016-02-24 16:14:01+00:00,Traer informacion estudiante - banner,24517,91352,Variant 5,5,Fluxicon Disco,2016-02-24 16:14:01+00:00
1153,Radicar Solicitud Homologacion,complete,24517,2016-02-24 16:14:19+00:00,Radicar Solicitud Homologacion,24517,91352,Variant 5,5,Fluxicon Disco,2016-02-24 16:14:02+00:00
1154,Notificacion estudiante cancelacion soli,complete,1,2016-03-04 14:56:16+00:00,Notificacion estudiante cancelacion soli,1,91352,Variant 5,5,Fluxicon Disco,2016-03-04 14:56:16+00:00
1155,End,complete,End,2016-03-04 14:56:16+00:00,End,End,91352,Variant 5,5,Fluxicon Disco,2016-03-04 14:56:16+00:00
1156,Start,complete,Start,2016-02-24 16:58:47+00:00,Start,Start,91353,Variant 49,49,Fluxicon Disco,2016-02-24 16:58:47+00:00
1157,Traer informacion estudiante - banner,complete,20194,2016-02-24 16:58:47+00:00,Traer informacion estudiante - banner,20194,91353,Variant 49,49,Fluxicon Disco,2016-02-24 16:58:47+00:00
1158,Radicar Solicitud Homologacion,complete,20194,2016-02-24 17:02:49+00:00,Radicar Solicitud Homologacion,20194,91353,Variant 49,49,Fluxicon Disco,2016-02-24 16:58:48+00:00
1159,Revisar curso,complete,2292,2016-02-24 22:44:17+00:00,Revisar curso,2292,91353,Variant 49,49,Fluxicon Disco,2016-02-24 22:40:42+00:00
1160,Revisar curso,complete,943,2016-02-24 22:45:01+00:00,Revisar curso,943,91353,Variant 49,49,Fluxicon Disco,2016-02-24 22:40:42+00:00
1161,Validar solicitud,complete,2292,2016-02-25 00:33:44+00:00,Validar solicitud,2292,91353,Variant 49,49,Fluxicon Disco,2016-02-25 00:33:44+00:00
1162,Cancelar Solicitud,complete,2292,2016-02-25 08:52:10+00:00,Cancelar Solicitud,2292,91353,Variant 49,49,Fluxicon Disco,2016-02-25 00:33:45+00:00
1163,Evaluacion curso,complete,2292,2016-02-25 16:17:27+00:00,Evaluacion curso,2292,91353,Variant 49,49,Fluxicon Disco,2016-02-25 16:17:23+00:00
1164,Notificacion estudiante cancelacion soli,complete,2292,2016-06-01 15:25:43+00:00,Notificacion estudiante cancelacion soli,2292,91353,Variant 49,49,Fluxicon Disco,2016-06-01 15:25:43+00:00
1165,End,complete,End,2016-06-01 15:25:43+00:00,End,End,91353,Variant 49,49,Fluxicon Disco,2016-06-01 15:25:43+00:00
1166,Start,complete,Start,2016-02-24 13:51:35+00:00,Start,Start,91402,Variant 1,1,Fluxicon Disco,2016-02-24 13:51:35+00:00
1167,Traer informacion estudiante - banner,complete,8455,2016-02-24 13:51:35+00:00,Traer informacion estudiante - banner,8455,91402,Variant 1,1,Fluxicon Disco,2016-02-24 13:51:35+00:00
1168,Radicar Solicitud Homologacion,complete,8455,2016-02-24 13:52:24+00:00,Radicar Solicitud Homologacion,8455,91402,Variant 1,1,Fluxicon Disco,2016-02-24 13:51:38+00:00
1169,Cancelar Solicitud,complete,677,2016-02-24 14:48:26+00:00,Cancelar Solicitud,677,91402,Variant 1,1,Fluxicon Disco,2016-02-24 14:38:32+00:00
1170,Notificacion estudiante cancelacion soli,complete,677,2016-02-25 16:33:23+00:00,Notificacion estudiante cancelacion soli,677,91402,Variant 1,1,Fluxicon Disco,2016-02-25 16:33:23+00:00
1171,End,complete,End,2016-02-25 16:33:23+00:00,End,End,91402,Variant 1,1,Fluxicon Disco,2016-02-25 16:33:23+00:00
1172,Start,complete,Start,2016-02-24 13:42:25+00:00,Start,Start,91451,Variant 3,3,Fluxicon Disco,2016-02-24 13:42:25+00:00
1173,Traer informacion estudiante - banner,complete,1524,2016-02-24 13:42:25+00:00,Traer informacion estudiante - banner,1524,91451,Variant 3,3,Fluxicon Disco,2016-02-24 13:42:25+00:00
1174,Radicar Solicitud Homologacion,complete,1524,2016-02-24 13:58:14+00:00,Radicar Solicitud Homologacion,1524,91451,Variant 3,3,Fluxicon Disco,2016-02-24 13:42:32+00:00
1175,Validar solicitud,complete,186,2016-02-26 16:57:06+00:00,Validar solicitud,186,91451,Variant 3,3,Fluxicon Disco,2016-02-26 13:25:32+00:00
1176,Revisar curso,complete,186,2016-04-11 21:31:07+00:00,Revisar curso,186,91451,Variant 3,3,Fluxicon Disco,2016-04-11 18:43:07+00:00
1177,Homologacion por grupo de cursos,complete,26788,2016-04-11 23:22:32+00:00,Homologacion por grupo de cursos,26788,91451,Variant 3,3,Fluxicon Disco,2016-04-11 18:43:07+00:00
1178,Evaluacion curso,complete,26788,2016-05-11 17:16:21+00:00,Evaluacion curso,26788,91451,Variant 3,3,Fluxicon Disco,2016-05-11 17:04:21+00:00
1179,Validacion final,complete,186,2016-05-13 13:39:53+00:00,Validacion final,186,91451,Variant 3,3,Fluxicon Disco,2016-05-13 12:59:53+00:00
1180,Visto Bueno Cierre Proceso,complete,26788,2016-05-20 13:41:26+00:00,Visto Bueno Cierre Proceso,26788,91451,Variant 3,3,Fluxicon Disco,2016-05-20 12:42:01+00:00
1181,End,complete,End,2016-05-20 13:41:26+00:00,End,End,91451,Variant 3,3,Fluxicon Disco,2016-05-20 13:41:26+00:00
1182,Start,complete,Start,2016-02-24 14:39:34+00:00,Start,Start,91452,Variant 1,1,Fluxicon Disco,2016-02-24 14:39:34+00:00
1183,Traer informacion estudiante - banner,complete,8455,2016-02-24 14:39:34+00:00,Traer informacion estudiante - banner,8455,91452,Variant 1,1,Fluxicon Disco,2016-02-24 14:39:34+00:00
1184,Radicar Solicitud Homologacion,complete,8455,2016-02-24 14:39:40+00:00,Radicar Solicitud Homologacion,8455,91452,Variant 1,1,Fluxicon Disco,2016-02-24 14:39:37+00:00
1185,Cancelar Solicitud,complete,8455,2016-02-24 14:42:56+00:00,Cancelar Solicitud,8455,91452,Variant 1,1,Fluxicon Disco,2016-02-24 14:42:55+00:00
1186,Notificacion estudiante cancelacion soli,complete,8455,2016-02-24 14:44:33+00:00,Notificacion estudiante cancelacion soli,8455,91452,Variant 1,1,Fluxicon Disco,2016-02-24 14:44:33+00:00
1187,End,complete,End,2016-02-24 14:44:33+00:00,End,End,91452,Variant 1,1,Fluxicon Disco,2016-02-24 14:44:33+00:00
1188,Start,complete,Start,2016-02-24 14:44:44+00:00,Start,Start,91453,Variant 4,4,Fluxicon Disco,2016-02-24 14:44:44+00:00
1189,Traer informacion estudiante - banner,complete,8455,2016-02-24 14:44:44+00:00,Traer informacion estudiante - banner,8455,91453,Variant 4,4,Fluxicon Disco,2016-02-24 14:44:44+00:00
1190,Radicar Solicitud Homologacion,complete,8455,2016-02-24 14:44:56+00:00,Radicar Solicitud Homologacion,8455,91453,Variant 4,4,Fluxicon Disco,2016-02-24 14:44:47+00:00
1191,Validar solicitud,complete,677,2016-02-24 15:03:38+00:00,Validar solicitud,677,91453,Variant 4,4,Fluxicon Disco,2016-02-24 14:53:53+00:00
1192,Revisar curso,complete,677,2016-02-25 16:39:37+00:00,Revisar curso,677,91453,Variant 4,4,Fluxicon Disco,2016-02-25 16:39:35+00:00
1193,Homologacion por grupo de cursos,complete,677,2016-02-25 16:39:55+00:00,Homologacion por grupo de cursos,677,91453,Variant 4,4,Fluxicon Disco,2016-02-25 16:39:35+00:00
1194,Evaluacion curso,complete,10726,2016-02-25 16:41:50+00:00,Evaluacion curso,10726,91453,Variant 4,4,Fluxicon Disco,2016-02-25 16:41:37+00:00
1195,Validar solicitud / pre-homologacion,complete,677,2016-02-25 16:55:07+00:00,Validar solicitud / pre-homologacion,677,91453,Variant 4,4,Fluxicon Disco,2016-02-25 16:55:03+00:00
1196,End,complete,End,2016-02-25 16:55:07+00:00,End,End,91453,Variant 4,4,Fluxicon Disco,2016-02-25 16:55:07+00:00
1197,Start,complete,Start,2016-02-24 15:00:21+00:00,Start,Start,91455,Variant 1,1,Fluxicon Disco,2016-02-24 15:00:21+00:00
1198,Traer informacion estudiante - banner,complete,8455,2016-02-24 15:00:21+00:00,Traer informacion estudiante - banner,8455,91455,Variant 1,1,Fluxicon Disco,2016-02-24 15:00:21+00:00
1199,Radicar Solicitud Homologacion,complete,8455,2016-02-24 15:00:32+00:00,Radicar Solicitud Homologacion,8455,91455,Variant 1,1,Fluxicon Disco,2016-02-24 15:00:22+00:00
1200,Cancelar Solicitud,complete,677,2016-02-24 15:20:49+00:00,Cancelar Solicitud,677,91455,Variant 1,1,Fluxicon Disco,2016-02-24 15:11:14+00:00
1201,Notificacion estudiante cancelacion soli,complete,677,2016-02-25 16:46:56+00:00,Notificacion estudiante cancelacion soli,677,91455,Variant 1,1,Fluxicon Disco,2016-02-25 16:46:56+00:00
1202,End,complete,End,2016-02-25 16:46:56+00:00,End,End,91455,Variant 1,1,Fluxicon Disco,2016-02-25 16:46:56+00:00
1203,Start,complete,Start,2016-02-24 16:10:45+00:00,Start,Start,91456,Variant 1,1,Fluxicon Disco,2016-02-24 16:10:45+00:00
1204,Traer informacion estudiante - banner,complete,11327,2016-02-24 16:10:45+00:00,Traer informacion estudiante - banner,11327,91456,Variant 1,1,Fluxicon Disco,2016-02-24 16:10:45+00:00
1205,Radicar Solicitud Homologacion,complete,11327,2016-02-24 16:28:45+00:00,Radicar Solicitud Homologacion,11327,91456,Variant 1,1,Fluxicon Disco,2016-02-24 16:10:47+00:00
1206,Cancelar Solicitud,complete,18929,2016-02-26 20:21:20+00:00,Cancelar Solicitud,18929,91456,Variant 1,1,Fluxicon Disco,2016-02-26 20:09:05+00:00
1207,Notificacion estudiante cancelacion soli,complete,18929,2016-03-01 14:24:46+00:00,Notificacion estudiante cancelacion soli,18929,91456,Variant 1,1,Fluxicon Disco,2016-03-01 14:24:46+00:00
1208,End,complete,End,2016-03-01 14:24:46+00:00,End,End,91456,Variant 1,1,Fluxicon Disco,2016-03-01 14:24:46+00:00
1209,Start,complete,Start,2016-02-24 16:33:08+00:00,Start,Start,91457,Variant 1,1,Fluxicon Disco,2016-02-24 16:33:08+00:00
1210,Traer informacion estudiante - banner,complete,15884,2016-02-24 16:33:08+00:00,Traer informacion estudiante - banner,15884,91457,Variant 1,1,Fluxicon Disco,2016-02-24 16:33:08+00:00
1211,Radicar Solicitud Homologacion,complete,15884,2016-02-24 16:33:38+00:00,Radicar Solicitud Homologacion,15884,91457,Variant 1,1,Fluxicon Disco,2016-02-24 16:33:12+00:00
1212,Cancelar Solicitud,complete,15884,2016-02-24 17:13:57+00:00,Cancelar Solicitud,15884,91457,Variant 1,1,Fluxicon Disco,2016-02-24 17:13:23+00:00
1213,Notificacion estudiante cancelacion soli,complete,15884,2016-02-24 19:34:39+00:00,Notificacion estudiante cancelacion soli,15884,91457,Variant 1,1,Fluxicon Disco,2016-02-24 19:34:39+00:00
1214,End,complete,End,2016-02-24 19:34:39+00:00,End,End,91457,Variant 1,1,Fluxicon Disco,2016-02-24 19:34:39+00:00
1215,Start,complete,Start,2016-02-24 19:38:56+00:00,Start,Start,91502,Variant 1,1,Fluxicon Disco,2016-02-24 19:38:56+00:00
1216,Traer informacion estudiante - banner,complete,3747,2016-02-24 19:38:56+00:00,Traer informacion estudiante - banner,3747,91502,Variant 1,1,Fluxicon Disco,2016-02-24 19:38:56+00:00
1217,Radicar Solicitud Homologacion,complete,3747,2016-02-24 19:39:06+00:00,Radicar Solicitud Homologacion,3747,91502,Variant 1,1,Fluxicon Disco,2016-02-24 19:39:00+00:00
1218,Cancelar Solicitud,complete,677,2016-02-24 19:53:06+00:00,Cancelar Solicitud,677,91502,Variant 1,1,Fluxicon Disco,2016-02-24 19:45:59+00:00
1219,Notificacion estudiante cancelacion soli,complete,677,2016-02-25 16:53:48+00:00,Notificacion estudiante cancelacion soli,677,91502,Variant 1,1,Fluxicon Disco,2016-02-25 16:53:48+00:00
1220,End,complete,End,2016-02-25 16:53:48+00:00,End,End,91502,Variant 1,1,Fluxicon Disco,2016-02-25 16:53:48+00:00
1221,Start,complete,Start,2016-02-24 19:46:09+00:00,Start,Start,91503,Variant 1,1,Fluxicon Disco,2016-02-24 19:46:09+00:00
1222,Traer informacion estudiante - banner,complete,3747,2016-02-24 19:46:09+00:00,Traer informacion estudiante - banner,3747,91503,Variant 1,1,Fluxicon Disco,2016-02-24 19:46:09+00:00
1223,Radicar Solicitud Homologacion,complete,3747,2016-02-24 19:46:19+00:00,Radicar Solicitud Homologacion,3747,91503,Variant 1,1,Fluxicon Disco,2016-02-24 19:46:12+00:00
1224,Cancelar Solicitud,complete,677,2016-02-24 20:00:14+00:00,Cancelar Solicitud,677,91503,Variant 1,1,Fluxicon Disco,2016-02-24 19:53:12+00:00
1225,Notificacion estudiante cancelacion soli,complete,677,2016-02-25 16:55:32+00:00,Notificacion estudiante cancelacion soli,677,91503,Variant 1,1,Fluxicon Disco,2016-02-25 16:55:32+00:00
1226,End,complete,End,2016-02-25 16:55:32+00:00,End,End,91503,Variant 1,1,Fluxicon Disco,2016-02-25 16:55:32+00:00
1227,Start,complete,Start,2016-02-24 17:14:28+00:00,Start,Start,91551,Variant 1,1,Fluxicon Disco,2016-02-24 17:14:28+00:00
1228,Traer informacion estudiante - banner,complete,15884,2016-02-24 17:14:28+00:00,Traer informacion estudiante - banner,15884,91551,Variant 1,1,Fluxicon Disco,2016-02-24 17:14:28+00:00
1229,Radicar Solicitud Homologacion,complete,15884,2016-02-24 17:14:34+00:00,Radicar Solicitud Homologacion,15884,91551,Variant 1,1,Fluxicon Disco,2016-02-24 17:14:34+00:00
1230,Cancelar Solicitud,complete,6767,2016-02-24 23:13:11+00:00,Cancelar Solicitud,6767,91551,Variant 1,1,Fluxicon Disco,2016-02-24 17:29:11+00:00
1231,Notificacion estudiante cancelacion soli,complete,6767,2016-05-02 17:18:02+00:00,Notificacion estudiante cancelacion soli,6767,91551,Variant 1,1,Fluxicon Disco,2016-05-02 17:18:02+00:00
1232,End,complete,End,2016-05-02 17:18:02+00:00,End,End,91551,Variant 1,1,Fluxicon Disco,2016-05-02 17:18:02+00:00
1233,Start,complete,Start,2016-02-24 17:30:49+00:00,Start,Start,91552,Variant 8,8,Fluxicon Disco,2016-02-24 17:30:49+00:00
1234,Traer informacion estudiante - banner,complete,15884,2016-02-24 17:30:49+00:00,Traer informacion estudiante - banner,15884,91552,Variant 8,8,Fluxicon Disco,2016-02-24 17:30:49+00:00
1235,Radicar Solicitud Homologacion,complete,15884,2016-02-24 17:31:08+00:00,Radicar Solicitud Homologacion,15884,91552,Variant 8,8,Fluxicon Disco,2016-02-24 17:30:52+00:00
1236,Validar solicitud,complete,6767,2016-02-24 19:20:45+00:00,Validar solicitud,6767,91552,Variant 8,8,Fluxicon Disco,2016-02-24 19:16:45+00:00
1237,Cancelar Solicitud,complete,6767,2016-02-24 22:42:54+00:00,Cancelar Solicitud,6767,91552,Variant 8,8,Fluxicon Disco,2016-02-24 19:16:45+00:00
1238,Revisar curso,complete,6767,2016-02-25 13:18:00+00:00,Revisar curso,6767,91552,Variant 8,8,Fluxicon Disco,2016-02-25 13:18:00+00:00
1239,Notificacion estudiante cancelacion soli,complete,6767,2016-04-07 15:25:58+00:00,Notificacion estudiante cancelacion soli,6767,91552,Variant 8,8,Fluxicon Disco,2016-04-07 15:25:58+00:00
1240,End,complete,End,2016-04-07 15:25:58+00:00,End,End,91552,Variant 8,8,Fluxicon Disco,2016-04-07 15:25:58+00:00
1241,Start,complete,Start,2016-02-25 08:25:34+00:00,Start,Start,91751,Variant 50,50,Fluxicon Disco,2016-02-25 08:25:34+00:00
1242,Traer informacion estudiante - banner,complete,5613,2016-02-25 08:25:34+00:00,Traer informacion estudiante - banner,5613,91751,Variant 50,50,Fluxicon Disco,2016-02-25 08:25:34+00:00
1243,Radicar Solicitud Homologacion,complete,5613,2016-02-25 08:26:46+00:00,Radicar Solicitud Homologacion,5613,91751,Variant 50,50,Fluxicon Disco,2016-02-25 08:25:41+00:00
1244,Revisar curso,complete,659,2016-02-25 13:48:21+00:00,Revisar curso,659,91751,Variant 50,50,Fluxicon Disco,2016-02-25 13:48:21+00:00
1245,Validar solicitud,complete,659,2016-02-25 14:05:12+00:00,Validar solicitud,659,91751,Variant 50,50,Fluxicon Disco,2016-02-25 14:05:12+00:00
1246,Cancelar Solicitud,complete,659,2016-02-25 22:20:39+00:00,Cancelar Solicitud,659,91751,Variant 50,50,Fluxicon Disco,2016-02-25 14:05:13+00:00
1247,Notificacion estudiante cancelacion soli,complete,659,2016-06-01 13:31:17+00:00,Notificacion estudiante cancelacion soli,659,91751,Variant 50,50,Fluxicon Disco,2016-06-01 13:31:17+00:00
1248,End,complete,End,2016-06-01 13:31:17+00:00,End,End,91751,Variant 50,50,Fluxicon Disco,2016-06-01 13:31:17+00:00
1249,Start,complete,Start,2016-02-25 08:29:21+00:00,Start,Start,91752,Variant 1,1,Fluxicon Disco,2016-02-25 08:29:21+00:00
1250,Traer informacion estudiante - banner,complete,3603,2016-02-25 08:29:21+00:00,Traer informacion estudiante - banner,3603,91752,Variant 1,1,Fluxicon Disco,2016-02-25 08:29:21+00:00
1251,Radicar Solicitud Homologacion,complete,3603,2016-02-25 08:29:24+00:00,Radicar Solicitud Homologacion,3603,91752,Variant 1,1,Fluxicon Disco,2016-02-25 08:29:24+00:00
1252,Cancelar Solicitud,complete,3603,2016-02-25 16:18:42+00:00,Cancelar Solicitud,3603,91752,Variant 1,1,Fluxicon Disco,2016-02-25 09:06:30+00:00
1253,Notificacion estudiante cancelacion soli,complete,3603,2016-05-19 13:12:09+00:00,Notificacion estudiante cancelacion soli,3603,91752,Variant 1,1,Fluxicon Disco,2016-05-19 13:12:09+00:00
1254,End,complete,End,2016-05-19 13:12:09+00:00,End,End,91752,Variant 1,1,Fluxicon Disco,2016-05-19 13:12:09+00:00
1255,Start,complete,Start,2016-02-25 10:35:42+00:00,Start,Start,91801,Variant 6,6,Fluxicon Disco,2016-02-25 10:35:42+00:00
1256,Traer informacion estudiante - banner,complete,1134,2016-02-25 10:35:42+00:00,Traer informacion estudiante - banner,1134,91801,Variant 6,6,Fluxicon Disco,2016-02-25 10:35:42+00:00
1257,Radicar Solicitud Homologacion,complete,1134,2016-02-25 10:35:48+00:00,Radicar Solicitud Homologacion,1134,91801,Variant 6,6,Fluxicon Disco,2016-02-25 10:35:48+00:00
1258,Validar solicitud,complete,677,2016-02-25 11:03:34+00:00,Validar solicitud,677,91801,Variant 6,6,Fluxicon Disco,2016-02-25 10:59:34+00:00
1259,Revisar curso,complete,677,2016-02-25 17:05:03+00:00,Revisar curso,677,91801,Variant 6,6,Fluxicon Disco,2016-02-25 17:05:03+00:00
1260,Homologacion por grupo de cursos,complete,22491,2016-02-26 00:49:03+00:00,Homologacion por grupo de cursos,22491,91801,Variant 6,6,Fluxicon Disco,2016-02-25 17:05:03+00:00
1261,Evaluacion curso,complete,22491,2016-02-26 00:59:20+00:00,Evaluacion curso,22491,91801,Variant 6,6,Fluxicon Disco,2016-02-25 17:15:20+00:00
1262,End,complete,End,2016-02-26 00:59:20+00:00,End,End,91801,Variant 6,6,Fluxicon Disco,2016-02-26 00:59:20+00:00
1263,Start,complete,Start,2016-02-25 11:44:56+00:00,Start,Start,91851,Variant 6,6,Fluxicon Disco,2016-02-25 11:44:56+00:00
1264,Traer informacion estudiante - banner,complete,4918,2016-02-25 11:44:56+00:00,Traer informacion estudiante - banner,4918,91851,Variant 6,6,Fluxicon Disco,2016-02-25 11:44:56+00:00
1265,Radicar Solicitud Homologacion,complete,4918,2016-02-25 11:45:01+00:00,Radicar Solicitud Homologacion,4918,91851,Variant 6,6,Fluxicon Disco,2016-02-25 11:45:01+00:00
1266,Validar solicitud,complete,1707,2016-02-25 11:53:33+00:00,Validar solicitud,1707,91851,Variant 6,6,Fluxicon Disco,2016-02-25 11:49:58+00:00
1267,Revisar curso,complete,1707,2016-02-25 16:43:18+00:00,Revisar curso,1707,91851,Variant 6,6,Fluxicon Disco,2016-02-25 16:35:21+00:00
1268,Homologacion por grupo de cursos,complete,7763,2016-02-25 16:46:05+00:00,Homologacion por grupo de cursos,7763,91851,Variant 6,6,Fluxicon Disco,2016-02-25 16:35:21+00:00
1269,Evaluacion curso,complete,7763,2016-02-26 16:35:23+00:00,Evaluacion curso,7763,91851,Variant 6,6,Fluxicon Disco,2016-02-26 16:32:37+00:00
1270,End,complete,End,2016-02-26 16:35:23+00:00,End,End,91851,Variant 6,6,Fluxicon Disco,2016-02-26 16:35:23+00:00
1271,Start,complete,Start,2016-02-25 16:53:44+00:00,Start,Start,91902,Variant 6,6,Fluxicon Disco,2016-02-25 16:53:44+00:00
1272,Traer informacion estudiante - banner,complete,7423,2016-02-25 16:53:44+00:00,Traer informacion estudiante - banner,7423,91902,Variant 6,6,Fluxicon Disco,2016-02-25 16:53:44+00:00
1273,Radicar Solicitud Homologacion,complete,7423,2016-02-25 16:53:54+00:00,Radicar Solicitud Homologacion,7423,91902,Variant 6,6,Fluxicon Disco,2016-02-25 16:53:48+00:00
1274,Validar solicitud,complete,677,2016-02-25 17:14:50+00:00,Validar solicitud,677,91902,Variant 6,6,Fluxicon Disco,2016-02-25 17:14:50+00:00
1275,Revisar curso,complete,677,2016-02-25 17:16:41+00:00,Revisar curso,677,91902,Variant 6,6,Fluxicon Disco,2016-02-25 17:16:41+00:00
1276,Homologacion por grupo de cursos,complete,677,2016-02-25 17:32:02+00:00,Homologacion por grupo de cursos,677,91902,Variant 6,6,Fluxicon Disco,2016-02-25 17:16:41+00:00
1277,Evaluacion curso,complete,677,2016-02-25 17:33:20+00:00,Evaluacion curso,677,91902,Variant 6,6,Fluxicon Disco,2016-02-25 17:17:59+00:00
1278,End,complete,End,2016-02-25 17:33:20+00:00,End,End,91902,Variant 6,6,Fluxicon Disco,2016-02-25 17:33:20+00:00
1279,Start,complete,Start,2016-02-25 13:47:10+00:00,Start,Start,91951,Variant 34,34,Fluxicon Disco,2016-02-25 13:47:10+00:00
1280,Traer informacion estudiante - banner,complete,6410,2016-02-25 13:47:10+00:00,Traer informacion estudiante - banner,6410,91951,Variant 34,34,Fluxicon Disco,2016-02-25 13:47:10+00:00
1281,Radicar Solicitud Homologacion,complete,6410,2016-02-25 13:47:32+00:00,Radicar Solicitud Homologacion,6410,91951,Variant 34,34,Fluxicon Disco,2016-02-25 13:47:16+00:00
1282,Validar solicitud,complete,186,2016-02-25 17:43:00+00:00,Validar solicitud,186,91951,Variant 34,34,Fluxicon Disco,2016-02-25 14:04:01+00:00
1283,Revisar curso,complete,186,2016-04-11 21:51:34+00:00,Revisar curso,186,91951,Variant 34,34,Fluxicon Disco,2016-04-11 19:03:38+00:00
1284,Recepcion de documentos,complete,26789,2016-04-12 00:12:42+00:00,Recepcion de documentos,26789,91951,Variant 34,34,Fluxicon Disco,2016-04-11 19:03:37+00:00
1285,Homologacion por grupo de cursos,complete,26788,2016-04-12 01:55:33+00:00,Homologacion por grupo de cursos,26788,91951,Variant 34,34,Fluxicon Disco,2016-04-11 19:03:37+00:00
1286,Evaluacion curso,complete,26788,2016-05-11 17:09:39+00:00,Evaluacion curso,26788,91951,Variant 34,34,Fluxicon Disco,2016-05-11 17:07:20+00:00
1287,Validar solicitud / pre-homologacion,complete,186,2016-05-11 21:20:47+00:00,Validar solicitud / pre-homologacion,186,91951,Variant 34,34,Fluxicon Disco,2016-05-11 21:19:07+00:00
1288,Avanzar recepcion documentos,complete,26789,2016-05-12 01:44:50+00:00,Avanzar recepcion documentos,26789,91951,Variant 34,34,Fluxicon Disco,2016-05-11 23:27:42+00:00
1289,Validacion final,complete,186,2016-06-08 15:11:42+00:00,Validacion final,186,91951,Variant 34,34,Fluxicon Disco,2016-06-08 14:08:51+00:00
1290,Visto Bueno Cierre Proceso,complete,26788,2016-06-20 13:15:04+00:00,Visto Bueno Cierre Proceso,26788,91951,Variant 34,34,Fluxicon Disco,2016-06-20 12:35:04+00:00
1291,Transferir Creditos,complete,26788,2016-06-27 12:32:40+00:00,Transferir Creditos,26788,91951,Variant 34,34,Fluxicon Disco,2016-06-27 12:32:40+00:00
1292,Transferir creditos homologables,complete,26788,2016-06-27 12:32:40+00:00,Transferir creditos homologables,26788,91951,Variant 34,34,Fluxicon Disco,2016-06-27 12:32:40+00:00
1293,End,complete,End,2016-06-27 12:32:40+00:00,End,End,91951,Variant 34,34,Fluxicon Disco,2016-06-27 12:32:40+00:00
1294,Start,complete,Start,2016-02-25 16:15:05+00:00,Start,Start,92002,Variant 51,51,Fluxicon Disco,2016-02-25 16:15:05+00:00
1295,Traer informacion estudiante - banner,complete,6410,2016-02-25 16:15:05+00:00,Traer informacion estudiante - banner,6410,92002,Variant 51,51,Fluxicon Disco,2016-02-25 16:15:05+00:00
1296,Radicar Solicitud Homologacion,complete,6410,2016-02-25 16:15:13+00:00,Radicar Solicitud Homologacion,6410,92002,Variant 51,51,Fluxicon Disco,2016-02-25 16:15:08+00:00
1297,Validar solicitud,complete,186,2016-02-25 19:57:11+00:00,Validar solicitud,186,92002,Variant 51,51,Fluxicon Disco,2016-02-25 16:20:21+00:00
1298,Revisar curso,complete,186,2016-04-11 19:11:13+00:00,Revisar curso,186,92002,Variant 51,51,Fluxicon Disco,2016-04-11 19:11:12+00:00
1299,Recepcion de documentos,complete,26789,2016-04-12 00:20:10+00:00,Recepcion de documentos,26789,92002,Variant 51,51,Fluxicon Disco,2016-04-11 19:11:12+00:00
1300,Evaluacion curso,complete,7389,2016-04-12 01:32:01+00:00,Evaluacion curso,7389,92002,Variant 51,51,Fluxicon Disco,2016-04-11 19:12:14+00:00
1301,Homologacion por grupo de cursos,complete,26788,2016-04-12 02:03:00+00:00,Homologacion por grupo de cursos,26788,92002,Variant 51,51,Fluxicon Disco,2016-04-11 19:11:12+00:00
1302,Validar solicitud / pre-homologacion,complete,186,2016-06-21 10:40:28+00:00,Validar solicitud / pre-homologacion,186,92002,Variant 51,51,Fluxicon Disco,2016-06-21 10:36:28+00:00
1303,Validacion final,complete,186,2016-06-21 17:30:16+00:00,Validacion final,186,92002,Variant 51,51,Fluxicon Disco,2016-06-21 17:30:16+00:00
1304,Visto Bueno Cierre Proceso,complete,26788,2016-06-21 17:58:24+00:00,Visto Bueno Cierre Proceso,26788,92002,Variant 51,51,Fluxicon Disco,2016-06-21 17:30:24+00:00
1305,Transferir Creditos,complete,26788,2016-06-27 12:33:05+00:00,Transferir Creditos,26788,92002,Variant 51,51,Fluxicon Disco,2016-06-27 12:33:05+00:00
1306,Transferir creditos homologables,complete,26788,2016-06-27 12:33:05+00:00,Transferir creditos homologables,26788,92002,Variant 51,51,Fluxicon Disco,2016-06-27 12:33:05+00:00
1307,End,complete,End,2016-06-27 12:33:05+00:00,End,End,92002,Variant 51,51,Fluxicon Disco,2016-06-27 12:33:05+00:00
1308,Start,complete,Start,2016-02-25 20:09:10+00:00,Start,Start,92101,Variant 1,1,Fluxicon Disco,2016-02-25 20:09:10+00:00
1309,Traer informacion estudiante - banner,complete,5883,2016-02-25 20:09:10+00:00,Traer informacion estudiante - banner,5883,92101,Variant 1,1,Fluxicon Disco,2016-02-25 20:09:10+00:00
